Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
7473,Own Home,1644070,10+ years,0,15,33.5,4262654,0,,0,debt consolidation,Short Term,87516,2256687,30963,737,0
7474,Own Home,743432,5 years,0,11,18.9,763642,0,45,0,debt consolidation,Long Term,376618,489364,15550,720,0
7475,Rent,848426,10+ years,0,8,20.1,526306,0,12,0,debt consolidation,Short Term,99999999,83638,16473,742,0
7476,Home Mortgage,3358782,10+ years,0,12,13.4,538340,0,,0,debt consolidation,Short Term,324104,292429,22084,721,0
7477,Rent,1995000,3 years,0,16,21,816618,0,49,0,buy a car,Short Term,528000,29621,9559,750,1
7478,Home Mortgage,3888160,6 years,0,30,16.3,1435456,0,21,0,debt consolidation,Short Term,787864,402914,93640,703,0
7479,Own Home,1721932,10+ years,0,9,28,912142,0,,0,debt consolidation,Short Term,105490,723957,37022,739,0
7480,Home Mortgage,1157974,1 year,0,11,27.9,1345652,0,40,0,debt consolidation,Short Term,432520,176643,8183,747,0
7481,Home Mortgage,2127202,10+ years,0,7,21.5,369116,0,27,0,debt consolidation,Short Term,559790,303164,16380,739,0
7482,Home Mortgage,,10+ years,0,14,30.5,645062,0,45,0,debt consolidation,Short Term,188430,518662,23506,,0
7483,Rent,567435,8 years,0,11,17.1,365750,0,8,0,debt consolidation,Long Term,328526,181944,6431,658,1
7484,Home Mortgage,1258712,8 years,0,6,9.5,364210,0,,0,debt consolidation,Short Term,161436,93100,4689,741,0
7485,Rent,2687664,< 1 year,0,14,16.7,429154,0,77,0,debt consolidation,Short Term,466796,278711,44122,736,1
7486,Rent,5327372,1 year,0,7,12.1,605638,0,,0,debt consolidation,Short Term,111760,292904,8080,750,0
7487,Home Mortgage,1542952,10+ years,0,7,12.5,232364,0,59,0,debt consolidation,Long Term,267982,198873,15430,695,1
7488,Rent,465405,5 years,0,5,7.7,51744,0,33,0,home improvements,Short Term,129338,8721,13535,728,0
7489,Home Mortgage,1394942,10+ years,0,15,27.2,1441396,0,35,0,debt consolidation,Short Term,753764,496698,16972,742,1
7490,Own Home,1368000,10+ years,0,20,26.7,897842,0,69,0,debt consolidation,Short Term,683650,517199,29868,688,1
7491,Home Mortgage,2833185,6 years,0,18,21.3,280170,0,6,0,debt consolidation,Short Term,437404,108889,61150,704,0
7492,Home Mortgage,,10+ years,0,10,13.3,423984,0,,0,debt consolidation,Short Term,332948,161481,20966,,0
7493,Rent,1257610,8 years,0,14,16.5,821480,0,58,0,debt consolidation,Long Term,448052,167428,27562,676,1
7494,Own Home,,< 1 year,0,7,8.2,301554,0,,0,debt consolidation,Short Term,290400,210938,5070,,0
7495,Rent,402192,< 1 year,0,3,8.5,107866,0,,0,other,Short Term,129360,73492,1900,697,0
7496,Home Mortgage,1533984,1 year,0,10,26.5,686312,0,43,0,debt consolidation,Long Term,444048,456399,12783,7410,1
7497,Rent,1878910,6 years,0,12,32.1,1778920,0,,0,buy a car,Short Term,99999999,477812,12479,748,0
7498,Home Mortgage,,,0,21,26.5,1141250,0,,0,debt consolidation,Short Term,615274,476064,37118,,0
7499,Rent,,4 years,0,8,9.4,480832,0,,0,debt consolidation,Short Term,26928,288192,9061,,0
7500,Rent,,4 years,0,9,12.5,220968,0,70,0,debt consolidation,Short Term,162470,105906,6813,,
7501,Rent,231838,1 year,0,6,32.7,55946,0,8,0,educational expenses,Short Term,78298,46037,2318,699,
7502,Home Mortgage,1152540,3 years,0,10,13.7,204600,0,,0,debt consolidation,Short Term,200178,146490,18729,7260,
7503,Home Mortgage,1220313,10+ years,0,16,17,456302,0,70,0,debt consolidation,Short Term,217382,213199,27559,739,
7504,Home Mortgage,2340952,6 years,0,11,23.6,1207272,0,,0,debt consolidation,Long Term,777634,425391,42605,706,
7505,Home Mortgage,922583,5 years,0,26,17.5,713174,0,41,0,debt consolidation,Short Term,94028,135508,11148,679,
7506,Home Mortgage,1233309,3 years,0,7,22,376420,0,43,0,home improvements,Short Term,454388,292904,8181,685,
7507,Rent,1215867,3 years,0,13,12.2,195888,0,19,0,debt consolidation,Short Term,407726,120099,7599,701,
7508,Rent,,5 years,0,8,9.1,370524,0,,0,major purchase,Short Term,131956,237747,10112,,
7509,Home Mortgage,2140445,10+ years,1,15,16.7,867680,1,9,0,debt consolidation,Short Term,391336,294500,18372,745,
7510,Own Home,941355,< 1 year,0,10,5.7,573650,0,,0,debt consolidation,Short Term,327008,192223,3750,737,
7511,Home Mortgage,1571737,10+ years,0,11,22.2,485342,0,,0,debt consolidation,Long Term,346654,320226,35626,696,
7512,Home Mortgage,1054614,2 years,0,11,14,306328,0,69,0,debt consolidation,Short Term,155408,202388,14940,7030,
7513,Rent,1232530,3 years,0,15,14.7,441518,0,,0,debt consolidation,Short Term,210782,228399,29889,720,
7514,Home Mortgage,1473887,< 1 year,0,13,15.1,329912,0,41,0,other,Long Term,291918,243333,17195,700,
7515,Rent,1118302,10+ years,0,16,27.1,676720,0,,0,debt consolidation,Short Term,372834,506103,23671,711,
7516,Rent,,1 year,0,21,10.4,613404,0,,0,debt consolidation,Short Term,557480,486856,26230,,
7517,Home Mortgage,1246495,9 years,0,10,22.9,357456,0,40,0,debt consolidation,Short Term,99999999,294823,21086,729,
7518,Home Mortgage,2207743,10+ years,0,11,24.3,1815682,0,,0,debt consolidation,Short Term,462792,710334,19870,749,
7519,Rent,2295276,8 years,0,16,33,509014,0,48,0,debt consolidation,Long Term,221474,126160,15168,738,
7520,Home Mortgage,,5 years,0,10,24.5,4092528,0,26,0,debt consolidation,Long Term,344476,463011,12732,,
7521,Home Mortgage,715350,8 years,0,16,11.4,477004,0,,0,other,Short Term,261580,183730,6975,728,
7522,Own Home,960735,8 years,0,17,11.8,512380,0,29,0,debt consolidation,Short Term,99999999,164179,17133,733,
7523,Home Mortgage,2475928,2 years,0,8,23.9,1208988,0,,0,home improvements,Short Term,264638,199424,6623,751,
7524,Home Mortgage,950190,1 year,0,12,23,94600,0,16,0,debt consolidation,Short Term,105622,62016,15599,724,
7525,Home Mortgage,736516,6 years,0,10,15.4,237842,0,39,0,buy a car,Short Term,249106,107426,7795,734,
7526,Home Mortgage,835506,< 1 year,0,10,15.2,312026,0,,0,debt consolidation,Long Term,263846,189183,14760,711,
7527,Home Mortgage,,6 years,0,10,6.4,631202,0,,0,debt consolidation,Short Term,444576,378328,19038,,
7528,Own Home,651833,8 years,0,8,10.4,174636,0,,0,debt consolidation,Short Term,140162,98933,11733,739,
7529,Rent,1025145,8 years,0,11,14.5,233134,0,4,0,medical bills,Short Term,86328,52953,23578,734,
7530,Rent,1155618,3 years,1,7,6.5,244904,1,,0,other,Short Term,129492,13965,1117,699,
7531,Home Mortgage,,10+ years,0,6,20.4,247698,1,45,1,debt consolidation,Short Term,109780,63745,6469,,
7532,Home Mortgage,1495984,2 years,0,11,7.7,829180,0,28,0,debt consolidation,Short Term,411400,494836,21692,724,
7533,Rent,743888,1 year,0,11,20,927124,0,18,0,debt consolidation,Short Term,99999999,303468,15002,735,
7534,Home Mortgage,1744447,5 years,0,9,26,699908,0,71,0,debt consolidation,Short Term,591668,305254,22242,743,
7535,Home Mortgage,,2 years,0,8,12.5,825528,0,,0,other,Short Term,401654,135470,8600,,
7536,Home Mortgage,14934114,7 years,0,7,15.4,177298,0,,0,other,Short Term,99770,57722,7218,746,
7537,Home Mortgage,,10+ years,0,6,20.5,17270,1,5,1,debt consolidation,Short Term,215512,6745,20464,,
7538,Rent,,6 years,0,5,14.6,202730,0,,0,debt consolidation,Short Term,338096,151639,19782,,
7539,Home Mortgage,475456,7 years,0,6,13.9,201410,1,,1,debt consolidation,Short Term,208626,30096,7884,727,
7540,Home Mortgage,652764,10+ years,0,12,32.5,612062,0,6,0,debt consolidation,Long Term,215952,83524,13654,715,
7541,Home Mortgage,1735498,1 year,0,10,13.2,1584506,0,,0,debt consolidation,Short Term,777172,758119,30371,7320,
7542,Rent,,5 years,0,30,15.8,1661484,0,,0,other,Long Term,296560,1093412,68721,,
7543,Home Mortgage,1625203,4 years,0,24,19,2693262,0,,0,debt consolidation,Short Term,179212,241908,38328,747,
7544,Home Mortgage,1120392,6 years,0,27,13,331232,0,13,0,debt consolidation,Long Term,237842,78945,16246,676,
7545,Home Mortgage,1768729,10+ years,0,11,19.7,3462558,0,,0,debt consolidation,Short Term,99999999,1764321,29184,737,
7546,Rent,,10+ years,0,6,14.7,337392,0,,0,debt consolidation,Short Term,263274,191444,6066,,
7547,Rent,,10+ years,0,9,17.3,643896,0,,0,debt consolidation,Long Term,326502,311410,10038,,
7548,Rent,1458003,10+ years,0,22,12.8,573518,0,53,0,debt consolidation,Short Term,404624,295697,23571,691,
7549,Home Mortgage,1231675,10+ years,0,11,22.1,624316,0,,0,other,Long Term,172876,418399,23556,727,
7550,Rent,653429,8 years,0,16,14.8,501556,1,,1,debt consolidation,Short Term,75658,156807,9529,749,
7551,Home Mortgage,679630,10+ years,0,16,25.9,746174,0,,0,debt consolidation,Short Term,220242,280972,9911,707,
7552,Home Mortgage,1223524,10+ years,0,8,12.7,610082,0,,0,other,Short Term,37048,400425,27325,730,
7553,Home Mortgage,1906080,5 years,0,18,15.6,874610,0,80,0,debt consolidation,Long Term,264836,268147,28274,725,
7554,Home Mortgage,1602403,9 years,0,13,18.9,690514,0,47,0,home improvements,Long Term,695266,365560,16959,6340,
7555,Rent,981274,5 years,0,10,11.2,259908,0,46,0,debt consolidation,Short Term,207570,168568,8750,731,
7556,Rent,742216,4 years,0,10,9.5,483912,0,,0,debt consolidation,Long Term,257818,90269,16267,738,
7557,Home Mortgage,4609704,10+ years,0,12,18.7,724900,0,34,0,debt consolidation,Short Term,633842,420717,26391,741,
7558,Home Mortgage,1238895,6 years,0,22,17.5,939378,0,,0,debt consolidation,Short Term,393866,499757,26017,7140,
7559,Rent,1984512,5 years,0,11,10.5,286088,0,,0,debt consolidation,Short Term,99999999,134653,25964,745,
7560,Home Mortgage,1784252,,0,16,39.5,2646512,0,,0,debt consolidation,Long Term,500192,233130,31522,734,
7561,Own Home,1771883,3 years,0,10,19.6,508970,0,48,0,debt consolidation,Short Term,371052,187682,37210,717,
7562,Home Mortgage,1378013,9 years,0,10,25.6,607618,0,6,0,debt consolidation,Short Term,291082,324292,15503,747,
7563,Own Home,594434,6 years,0,13,20.5,1252680,0,68,0,debt consolidation,Short Term,238744,474943,16843,733,
7564,Rent,1457775,1 year,1,12,8.6,380490,1,,0,buy house,Short Term,419738,191900,37416,632,
7565,Home Mortgage,733552,5 years,0,4,14.8,160952,0,,0,medical bills,Short Term,134112,92150,1339,745,
7566,Home Mortgage,1607286,3 years,0,19,31.1,2037200,0,66,0,debt consolidation,Short Term,313918,918422,23306,721,
7567,Home Mortgage,,10+ years,0,16,17.8,695178,0,,0,debt consolidation,Short Term,98868,465291,23790,,
7568,Home Mortgage,1632214,5 years,0,5,28.8,468116,0,,0,debt consolidation,Short Term,321068,412775,22579,741,
7569,Home Mortgage,1479378,7 years,0,10,27.2,289938,0,,0,home improvements,Short Term,239140,221597,21205,743,
7570,Rent,583623,< 1 year,0,14,8,146476,0,,0,debt consolidation,Short Term,99999999,98933,9338,744,
7571,Home Mortgage,4119029,10+ years,0,7,24.5,206008,0,13,0,debt consolidation,Long Term,783706,110314,17712,706,
7572,Rent,1023948,2 years,0,5,10.6,419584,0,25,0,debt consolidation,Short Term,99999999,29716,3985,750,
7573,Home Mortgage,2740123,6 years,0,5,37.4,218790,1,,1,debt consolidation,Short Term,393866,134349,15322,745,
7574,Home Mortgage,1714503,10+ years,0,21,16,767602,0,,0,debt consolidation,Long Term,780714,493221,39148,6900,
7575,Home Mortgage,915382,10+ years,0,11,11.8,615142,0,,0,debt consolidation,Short Term,220814,160436,9154,739,
7576,Own Home,1365530,9 years,0,15,21.5,2053260,0,,0,medical bills,Long Term,527054,734122,21280,667,
7577,Rent,1353009,9 years,0,13,12.5,644666,0,,0,debt consolidation,Short Term,358094,530024,15447,737,
7578,Own Home,1038141,9 years,0,13,33,897842,0,,0,debt consolidation,Short Term,321992,614897,23791,740,
7579,Home Mortgage,412528,2 years,0,30,7.9,232254,0,,0,debt consolidation,Short Term,99999999,71402,8491,716,
7580,Rent,2129178,10+ years,0,11,15.9,101662,0,31,0,buy house,Long Term,432520,52497,11090,689,
7581,Rent,1545840,4 years,0,6,10.5,326832,0,,0,business loan,Short Term,447480,171893,14814,735,
7582,Home Mortgage,1145586,3 years,0,15,9.9,493350,0,,0,debt consolidation,Short Term,375826,171285,7599,738,
7583,Rent,803073,3 years,0,7,10.5,245718,0,49,0,other,Short Term,233706,121809,15914,728,
7584,Home Mortgage,1776899,10+ years,0,7,26.8,493438,0,,0,debt consolidation,Short Term,99999999,401432,12113,732,
7585,Rent,,2 years,0,9,11.6,1147190,0,,0,debt consolidation,Short Term,175208,337858,28614,,
7586,Home Mortgage,1383941,5 years,0,13,22.5,754974,0,,0,other,Short Term,139810,6517,18914,7400,
7587,Rent,1061929,3 years,0,8,27.2,145222,1,,1,debt consolidation,Short Term,211266,105108,19026,7050,
7588,Rent,594434,< 1 year,0,6,32,1027202,0,23,0,debt consolidation,Short Term,99999999,367270,16991,744,
7589,Own Home,1041352,3 years,0,6,22.5,418770,0,,0,debt consolidation,Short Term,253220,248102,19872,728,
7590,Home Mortgage,1565638,10+ years,0,8,23.6,314138,0,,0,debt consolidation,Short Term,243188,151924,20745,751,
7591,Home Mortgage,744648,10+ years,0,10,19.3,215622,0,26,0,debt consolidation,Short Term,258676,134083,16941,714,
7592,Own Home,559683,3 years,0,9,18.9,586014,0,,0,debt consolidation,Short Term,197428,293037,7430,741,
7593,Home Mortgage,877420,6 years,0,14,16.5,721226,0,42,0,debt consolidation,Long Term,288024,204307,14770,731,
7594,Home Mortgage,1044278,10+ years,0,10,24,914694,0,,0,debt consolidation,Long Term,533126,478705,10007,714,
7595,Home Mortgage,2560915,7 years,0,10,37.5,109868,5,31,5,debt consolidation,Long Term,601656,7581,55273,692,
7596,Home Mortgage,,10+ years,0,10,18.1,747186,0,,0,other,Short Term,221606,409754,28631,,
7597,Rent,2425597,4 years,0,14,12.6,645480,0,17,0,debt consolidation,Long Term,99999999,370158,33554,698,
7598,Rent,1817274,,1,4,46.9,183722,1,,0,medical bills,Short Term,99999999,96311,19687,734,
7599,Home Mortgage,959405,3 years,0,9,16,771012,0,,0,debt consolidation,Short Term,288838,346256,13671,746,
7600,Home Mortgage,1079086,6 years,0,11,33.6,343266,0,8,0,medical bills,Long Term,396506,182609,5971,672,
7601,Rent,1250371,10+ years,0,9,22.2,1127874,0,,0,debt consolidation,Short Term,638352,734464,21256,738,
7602,Home Mortgage,1168348,10+ years,0,14,13.3,545248,0,,0,debt consolidation,Short Term,99999999,261820,17525,749,
7603,Home Mortgage,1150032,4 years,0,13,15.8,188540,0,13,0,debt consolidation,Short Term,99999999,74727,14567,724,
7604,Rent,,2 years,0,9,27.4,416900,0,49,0,debt consolidation,Short Term,328856,168511,12293,,
7605,Rent,,1 year,0,6,24.2,563310,0,31,0,debt consolidation,Short Term,332552,401850,9548,,
7606,Home Mortgage,1286452,10+ years,0,9,24.2,643984,0,,0,debt consolidation,Long Term,662090,443251,26158,660,
7607,Own Home,1301804,9 years,0,13,16,602668,0,10,0,debt consolidation,Long Term,378994,320093,22022,688,
7608,Home Mortgage,1420459,,0,8,20.8,347138,0,,0,debt consolidation,Long Term,432828,149891,19650,727,
7609,Home Mortgage,967955,7 years,0,8,15.5,361064,0,24,0,debt consolidation,Long Term,313830,176814,9437,700,
7610,Home Mortgage,,< 1 year,0,13,19.7,630190,1,,0,home improvements,Short Term,167618,121372,5214,,
7611,Rent,,< 1 year,0,11,11.4,476410,0,,0,debt consolidation,Short Term,219780,190912,14922,,
7612,Home Mortgage,788576,10+ years,0,6,20.5,717464,0,71,0,debt consolidation,Long Term,402534,465348,11632,733,
7613,Home Mortgage,1276819,4 years,0,13,12.8,286484,0,28,0,other,Short Term,179212,112328,12130,711,
7614,Rent,1066014,6 years,0,13,9.1,257972,0,,0,business loan,Short Term,99999999,106058,9150,739,
7615,Rent,650712,4 years,0,13,10.8,291104,0,,0,debt consolidation,Long Term,179388,162906,11003,705,
7616,Own Home,,7 years,0,7,13.6,141944,0,26,0,debt consolidation,Short Term,287606,55651,17470,,
7617,Rent,1156986,1 year,0,13,16.1,604516,0,,0,debt consolidation,Short Term,692164,313766,27382,730,
7618,Home Mortgage,1555283,4 years,0,13,31.5,1306976,0,74,0,debt consolidation,Short Term,167662,813827,31235,702,
7619,Rent,932976,8 years,0,18,9.5,909062,0,,0,debt consolidation,Short Term,284702,330524,28844,723,
7620,Rent,1207336,3 years,0,13,15.5,595804,0,20,0,debt consolidation,Long Term,99999999,394668,18211,723,
7621,Home Mortgage,1819573,1 year,0,8,17.5,847352,0,,0,home improvements,Long Term,349646,613966,24413,697,
7622,Rent,688655,10+ years,0,8,15.1,752862,0,,0,debt consolidation,Short Term,99999999,384921,8551,735,
7623,Rent,934800,10+ years,0,13,27.8,151646,0,20,0,debt consolidation,Short Term,99999999,25536,4806,738,
7624,Rent,1025145,9 years,0,12,14.4,608652,0,,0,debt consolidation,Long Term,455378,268603,26654,664,
7625,Rent,1346663,7 years,0,18,24,474298,0,,0,debt consolidation,Short Term,411488,343273,14140,725,
7626,Own Home,1129626,5 years,0,9,10.2,342122,0,,0,debt consolidation,Short Term,221804,202103,17227,7190,
7627,Rent,1219857,10+ years,0,22,20.1,1381116,0,,0,debt consolidation,Short Term,99999999,360221,25922,742,
7628,Home Mortgage,1346093,10+ years,0,10,25.9,802648,0,,0,debt consolidation,Long Term,467588,610014,12564,702,
7629,Rent,1072398,10+ years,0,11,16.7,183766,0,,0,debt consolidation,Short Term,88616,105849,20465,727,
7630,Home Mortgage,1667421,1 year,0,18,18,1363780,0,,0,debt consolidation,Short Term,343244,283860,19175,751,
7631,Rent,279186,4 years,0,5,13.6,101266,0,24,0,debt consolidation,Short Term,86196,80560,7259,729,
7632,Rent,949240,< 1 year,0,8,11.3,674344,0,,0,debt consolidation,Long Term,351714,410590,16722,701,
7633,Home Mortgage,1415424,10+ years,0,12,24.2,249106,1,48,1,debt consolidation,Short Term,221474,76380,11111,735,
7634,Rent,712918,2 years,0,9,14,874676,0,,0,other,Short Term,319044,478173,18595,7110,
7635,Home Mortgage,777670,10+ years,0,11,26.1,1034352,0,6,0,debt consolidation,Short Term,307472,287641,12443,742,
7636,Home Mortgage,875786,< 1 year,0,10,18.6,2041952,0,,0,debt consolidation,Short Term,81114,201039,9845,749,
7637,Rent,872955,10+ years,0,11,15.5,437932,0,26,0,debt consolidation,Short Term,269544,279509,9384,716,
7638,Home Mortgage,,10+ years,0,6,21,256586,0,,0,buy house,Short Term,460812,151354,11006,,
7639,Rent,1159057,10+ years,0,13,20.8,215204,0,21,0,debt consolidation,Long Term,274164,65987,24243,705,
7640,Rent,1136922,4 years,0,12,10,272096,0,81,0,debt consolidation,Short Term,329120,94924,15538,692,
7641,Rent,,< 1 year,0,6,6.6,267080,0,,0,debt consolidation,Short Term,164934,121315,8244,,
7642,Rent,586891,8 years,0,7,10.6,433246,0,,0,debt consolidation,Short Term,231902,185592,5331,740,
7643,Own Home,1573276,7 years,0,12,18.4,368544,1,75,1,debt consolidation,Short Term,222156,181108,13766,737,
7644,Home Mortgage,,7 years,0,9,12.5,337546,0,33,0,debt consolidation,Long Term,412764,198246,14653,,
7645,Rent,3345102,5 years,0,13,14.2,904508,0,,0,other,Short Term,516428,156237,12461,745,
7646,Home Mortgage,1794892,9 years,0,4,23.4,334576,0,24,0,home improvements,Long Term,765688,209494,6162,679,
7647,Home Mortgage,908903,3 years,0,11,33.6,444400,2,27,1,debt consolidation,Short Term,175406,118598,6991,716,
7648,Home Mortgage,,6 years,0,6,22.1,467654,0,,0,debt consolidation,Short Term,346588,300884,12433,,
7649,Rent,1050909,5 years,0,6,10.2,71940,0,13,0,debt consolidation,Short Term,58674,8398,10159,7150,
7650,Rent,1336080,10+ years,0,7,15.6,198198,0,19,0,debt consolidation,Long Term,99999999,161576,21377,689,
7651,Home Mortgage,1049180,4 years,0,14,22.4,1925748,0,18,0,debt consolidation,Short Term,176704,691866,16525,744,
7652,Home Mortgage,1674603,< 1 year,0,13,20.6,409002,0,,0,debt consolidation,Long Term,280082,136705,17723,718,
7653,Rent,,10+ years,0,15,17.6,708994,0,,0,debt consolidation,Short Term,393668,492290,30908,,
7654,Rent,1374023,3 years,0,9,15.8,359832,0,73,0,debt consolidation,Long Term,371228,147611,19809,720,
7655,Rent,1051289,10+ years,0,5,30.5,116314,0,,0,debt consolidation,Short Term,161480,89300,1673,733,
7656,Home Mortgage,1459789,10+ years,0,7,21.8,428538,0,,0,debt consolidation,Short Term,288376,166915,17274,746,
7657,Own Home,958930,10+ years,0,14,23.6,1059740,0,25,0,debt consolidation,Long Term,444136,481403,30206,729,
7658,Home Mortgage,1993784,1 year,0,12,16.7,764500,0,,0,debt consolidation,Short Term,99999999,154508,31568,747,
7659,Home Mortgage,736725,10+ years,0,6,16,368038,0,,0,debt consolidation,Short Term,304172,291802,10007,732,
7660,Own Home,936643,3 years,0,15,23.5,433686,0,18,0,debt consolidation,Short Term,130658,104120,13737,743,
7661,Own Home,2586603,3 years,0,22,20.7,924154,0,38,0,debt consolidation,Short Term,301664,740677,48068,722,
7662,Rent,1198406,10+ years,0,16,16.3,684794,0,57,0,debt consolidation,Short Term,554796,163229,24867,693,
7663,Home Mortgage,2007217,7 years,0,10,10,364100,0,,0,debt consolidation,Short Term,99999999,249052,13883,748,
7664,Rent,464569,1 year,0,8,13.6,360954,0,,0,debt consolidation,Short Term,35860,231610,11653,7050,
7665,Home Mortgage,1206348,10+ years,0,4,21.5,42988,0,14,0,debt consolidation,Short Term,386804,29545,20407,691,
7666,Rent,1420478,2 years,0,12,14.8,977416,0,,0,debt consolidation,Long Term,99999999,447393,32198,693,
7667,Home Mortgage,1743174,10+ years,0,17,16.8,1517824,0,,0,debt consolidation,Short Term,309496,550544,16560,745,
7668,Rent,633593,1 year,0,11,17.2,1235696,0,,0,debt consolidation,Short Term,252450,402325,8818,740,
7669,Home Mortgage,,2 years,0,12,11.1,704660,0,43,0,home improvements,Long Term,537130,192299,11597,,
7670,Rent,992047,4 years,0,6,20.5,103774,0,37,0,buy a car,Long Term,88352,67032,1777,696,
7671,Home Mortgage,,10+ years,1,8,19.8,238326,2,,1,debt consolidation,Short Term,224906,146148,21657,,
7672,Home Mortgage,1336688,6 years,0,12,16.5,346918,0,24,0,debt consolidation,Short Term,200134,282245,19716,718,
7673,Home Mortgage,1683210,10+ years,0,18,22.2,1859418,0,,0,debt consolidation,Long Term,731412,1013308,33285,675,
7674,Rent,1275166,10+ years,0,13,16.4,810942,1,,1,debt consolidation,Short Term,245168,83334,13921,7050,
7675,Home Mortgage,2468233,10+ years,0,10,32.2,1075976,0,50,0,other,Short Term,66990,543609,44017,740,
7676,Home Mortgage,3725900,5 years,0,22,27.5,5926250,0,0,0,debt consolidation,Long Term,754996,3209062,69550,686,
7677,Rent,,< 1 year,0,19,15.2,630366,0,,0,debt consolidation,Short Term,456808,466545,17262,,
7678,Rent,1630428,10+ years,0,12,14.5,513876,0,,0,buy a car,Short Term,99999999,195282,27446,741,
7679,Home Mortgage,,8 years,0,11,28,2323442,0,,0,debt consolidation,Short Term,301158,888934,27976,,
7680,Home Mortgage,957790,3 years,1,11,13.5,605638,2,43,1,debt consolidation,Short Term,319396,224390,24025,743,
7681,Home Mortgage,,9 years,0,14,12,359942,0,14,0,debt consolidation,Short Term,325050,167561,16134,,
7682,Home Mortgage,1321621,10+ years,0,18,18,910954,1,49,1,debt consolidation,Long Term,389686,348536,17291,739,
7683,Home Mortgage,951805,9 years,0,6,10.9,434104,0,,0,debt consolidation,Short Term,154286,195719,4148,745,
7684,Rent,,2 years,0,9,11,944702,0,,0,debt consolidation,Short Term,434544,673094,31430,,
7685,Home Mortgage,2093971,10+ years,0,7,19.4,711722,0,,0,debt consolidation,Short Term,462880,434568,13052,748,
7686,Rent,772236,2 years,0,13,14.3,375848,1,57,1,other,Short Term,99999999,67849,12098,730,
7687,Home Mortgage,1823867,5 years,0,14,24,3826020,0,,0,debt consolidation,Short Term,449328,968164,26613,742,
7688,Home Mortgage,2848575,< 1 year,0,14,31.5,1053052,0,10,0,home improvements,Short Term,99999999,371051,23263,716,
7689,Rent,465291,3 years,0,3,16.5,360470,0,,0,buy a car,Short Term,112618,161880,4692,712,
7690,Rent,1161204,10+ years,0,12,17.3,1372976,0,5,0,debt consolidation,Long Term,336138,260870,30965,720,
7691,Home Mortgage,1581579,10+ years,0,7,21,368390,0,,0,debt consolidation,Short Term,99999999,291745,14893,741,
7692,Home Mortgage,1603182,3 years,0,10,14.1,774928,0,,0,debt consolidation,Long Term,448602,335293,15097,708,
7693,Home Mortgage,1065064,6 years,0,9,8.2,551276,0,,0,other,Short Term,190586,77121,3950,737,
7694,Rent,14975610,5 years,0,5,44.3,155518,0,,0,major purchase,Long Term,133386,103968,3369,738,
7695,Rent,3101617,10+ years,0,8,22.3,1994058,0,,0,debt consolidation,Long Term,637956,759468,29982,684,
7696,Rent,1116022,1 year,0,8,16.5,1032768,0,,0,debt consolidation,Short Term,111408,86526,10044,748,
7697,Rent,747080,9 years,0,13,21.4,352352,0,9,0,debt consolidation,Short Term,259512,250439,13074,705,
7698,Own Home,574351,2 years,0,8,20.3,811470,0,37,0,home improvements,Short Term,219406,10507,761,749,
7699,Home Mortgage,1311646,3 years,0,12,16.7,364100,0,56,0,debt consolidation,Short Term,99999999,172007,19675,738,
7700,Rent,1771066,4 years,0,21,28.9,789844,0,49,0,debt consolidation,Short Term,220506,450889,50180,718,
7701,Home Mortgage,1395645,10+ years,0,20,21.3,544632,0,2,0,home improvements,Short Term,99999999,30571,19655,740,
7702,Own Home,848939,5 years,0,11,13.7,436722,0,,0,debt consolidation,Short Term,262130,224048,15281,739,
7703,Rent,1107776,10+ years,0,7,18.2,243298,0,,0,buy a car,Short Term,65230,36347,5687,741,
7704,Rent,384902,,0,11,11.7,93610,0,,0,buy a car,Short Term,124784,19722,462,743,
7705,Rent,,3 years,0,6,7.2,278696,0,,0,debt consolidation,Short Term,363616,127566,20074,,
7706,Home Mortgage,,6 years,0,14,22,1617110,0,,0,debt consolidation,Short Term,331980,20957,784,,
7707,Home Mortgage,1365264,10+ years,0,13,22.2,487718,0,6,0,debt consolidation,Long Term,567006,338219,13766,6150,
7708,Home Mortgage,931513,4 years,0,12,9,314446,0,,0,other,Long Term,404470,195548,10014,662,
7709,Rent,769956,< 1 year,0,6,15.5,737748,1,,1,debt consolidation,Short Term,289740,63707,8983,728,
7710,Home Mortgage,,10+ years,0,13,26.5,2284326,0,64,0,other,Long Term,760298,112442,4010,,
7711,Home Mortgage,,10+ years,0,8,16.6,604912,0,,0,debt consolidation,Short Term,141724,413763,23027,,
7712,Rent,556434,2 years,0,9,24.5,178178,0,6,0,debt consolidation,Short Term,214764,133570,6260,733,
7713,Home Mortgage,833568,< 1 year,0,12,16.7,590370,0,,0,business loan,Short Term,307098,274303,15143,7180,
7714,Home Mortgage,1141938,< 1 year,0,8,19.6,531366,0,,0,debt consolidation,Short Term,462792,427690,11229,734,
7715,Rent,,2 years,0,7,11.9,161084,0,16,0,debt consolidation,Short Term,98010,83182,6822,,
7716,Own Home,1507840,2 years,0,9,16.9,467060,0,,0,debt consolidation,Long Term,436480,340841,42471,692,
7717,Home Mortgage,,10+ years,0,14,20.4,367576,0,36,0,debt consolidation,Short Term,770616,26030,56412,,
